id,full_name,email,phone,city,state,country,account_created_at,risk_segment,kyc_verified,home_lat,home_lon,created_at
cust_000000,Aryan Maharaj,udantdewan@example.net,8196001338,Lucknow,Uttar Pradesh,IN,2024-02-18 16:58:14.182437,normal,False,26.772306914825467,80.88994069491345,2024-02-18 16:58:14.182437
cust_000001,Oni Kannan,zmall@example.org,6542351161,Chennai,Tamil Nadu,IN,2024-09-13 04:28:39.182437,watchlist,True,13.102140945513186,80.2120063336847,2024-09-13 04:28:39.182437
cust_000002,Caleb Sharaf,radhakrishnanfarhan@example.net,9593103413,Kochi,Kerala,IN,2024-02-04 23:32:40.182437,normal,True,9.986831715260166,76.26374398545849,2024-02-04 23:32:40.182437
cust_000003,Janya Gaba,isha34@example.net,9283276483,Guwahati,Assam,IN,2025-12-23 22:59:08.182437,normal,True,26.148779735197227,91.7222813516196,2025-12-23 22:59:08.182437
cust_000004,Diya Rattan,dominic39@example.net,3767242388,Pune,Maharashtra,IN,2023-10-18 03:11:30.182437,normal,False,18.559042391927186,73.89585799438885,2023-10-18 03:11:30.182437
cust_000005,Janaki Kanda,yashodharatak@example.org,1226916697,Hyderabad,Telangana,IN,2024-08-25 04:28:27.182437,normal,True,17.40175271759561,78.51493945529538,2024-08-25 04:28:27.182437
cust_000006,Ishwar Yadav,harini14@example.com,7048281489,Mumbai,Maharashtra,IN,2026-01-17 14:58:48.182437,normal,True,19.06539551650398,72.90481015034545,2026-01-17 14:58:48.182437
cust_000007,Aadi Naik,hbahl@example.com,3039117182,Lucknow,Uttar Pradesh,IN,2025-12-23 07:08:18.182437,normal,True,26.829806111226308,80.94631158110812,2025-12-23 07:08:18.182437
cust_000008,Alka Wable,ikakar@example.net,4657871331,Ahmedabad,Gujarat,IN,2026-03-02 03:39:52.182437,normal,True,23.008767812531687,72.54853907303404,2026-03-02 03:39:52.182437
cust_000009,Thomas Amble,bhargavaveer@example.org,5183473829,Bhopal,Madhya Pradesh,IN,2023-09-08 20:32:19.182437,normal,True,23.22544441011391,77.43598450519295,2023-09-08 20:32:19.182437
cust_000010,Niharika Gupta,chatterjeeraagini@example.com,6701065133,Bengaluru,Karnataka,IN,2025-06-16 06:27:15.182437,normal,True,13.037130295640674,77.65315509858348,2025-06-16 06:27:15.182437
cust_000011,Pahal Goswami,turvi31@example.com,0801326773,Bengaluru,Karnataka,IN,2024-07-29 05:43:34.182437,watchlist,True,12.908771733202729,77.65906015257035,2024-07-29 05:43:34.182437
cust_000012,Aarnav Ramakrishnan,suhani46@example.net,2343098050,Kolkata,West Bengal,IN,2024-02-04 12:55:22.182437,normal,True,22.556692074919106,88.39393665075728,2024-02-04 12:55:22.182437
cust_000013,Dakshesh Trivedi,grewalekapad@example.net,3619399091,Delhi,Delhi,IN,2025-03-09 09:58:07.182437,normal,True,28.65878923339764,77.1095989956937,2025-03-09 09:58:07.182437
cust_000014,Advika Jayaraman,william46@example.org,7510799118,Port Blair,Andaman and Nicobar Islands,IN,2024-10-13 16:18:00.182437,normal,True,11.639086159144846,92.65226976040402,2024-10-13 16:18:00.182437
cust_000015,Ikshita Biswas,kalamane@example.org,8498084124,Kochi,Kerala,IN,2025-08-12 10:50:54.182437,normal,True,9.96161335831721,76.33459675039192,2025-08-12 10:50:54.182437
cust_000016,Anita Manda,hemaljani@example.net,8740164005,Guwahati,Assam,IN,2025-04-08 19:01:55.182437,normal,True,26.13576760271592,91.80420840654139,2025-04-08 19:01:55.182437
cust_000017,Prisha Andra,borramanthan@example.net,5982620450,Chennai,Tamil Nadu,IN,2026-05-02 07:38:16.182437,normal,True,13.07321532532738,80.31317922655234,2026-05-02 07:38:16.182437
cust_000018,Irya Ray,warjasgaba@example.org,0256342160,Bhopal,Madhya Pradesh,IN,2025-03-13 12:58:42.182437,normal,True,23.148971501702444,77.53353888896567,2025-03-13 12:58:42.182437
cust_000019,Inaya Mody,udantbajwa@example.net,6541458685,Kochi,Kerala,IN,2023-12-15 19:27:05.182437,normal,True,10.005972912262148,76.25306872478733,2023-12-15 19:27:05.182437
cust_000020,Alka Barad,sarafhemani@example.net,6981693406,Hyderabad,Telangana,IN,2024-11-21 07:24:45.182437,normal,True,17.286395548667812,78.50110141841527,2024-11-21 07:24:45.182437
cust_000021,Januja Sankar,narayanandipta@example.net,4846564823,Bhopal,Madhya Pradesh,IN,2024-08-25 09:19:14.182437,normal,True,23.18770372264631,77.43484267687788,2024-08-25 09:19:14.182437
cust_000022,Nidra Acharya,bhavini36@example.net,7773872148,Pune,Maharashtra,IN,2024-11-03 13:51:16.182437,normal,True,18.540978285958214,73.8096298415499,2024-11-03 13:51:16.182437
cust_000023,Dayita Kar,mananbakshi@example.org,7917693676,Bhopal,Madhya Pradesh,IN,2025-03-18 12:10:37.182437,normal,True,23.31594835118072,77.4528787351403,2025-03-18 12:10:37.182437
cust_000024,Pavani Kanda,zarnashetty@example.org,1727889579,Kolkata,West Bengal,IN,2024-07-20 05:14:08.182437,normal,True,22.62139116686443,88.36434288518345,2024-07-20 05:14:08.182437
cust_000025,Nathan Soman,wlad@example.org,8734714345,Kochi,Kerala,IN,2026-07-26 14:45:05.182437,normal,True,9.860423796654315,76.31619361361057,2026-07-26 14:45:05.182437
cust_000026,Matthew Kashyap,tdua@example.org,6658760366,Port Blair,Andaman and Nicobar Islands,IN,2026-05-12 03:57:14.182437,normal,True,11.609881430043211,92.65701099284037,2026-05-12 03:57:14.182437
cust_000027,Vansha Ahuja,chanchal66@example.net,7346706562,Kochi,Kerala,IN,2024-09-13 01:27:37.182437,normal,True,9.998801968298716,76.37227037602513,2024-09-13 01:27:37.182437
cust_000028,Meera Bala,sanghakrishna@example.com,0465375564,Pune,Maharashtra,IN,2024-10-22 02:37:54.182437,normal,True,18.51833759355104,73.96465605773017,2024-10-22 02:37:54.182437
cust_000029,Anirudh Zacharia,pallaudarsh@example.net,0033092327,Lucknow,Uttar Pradesh,IN,2026-01-10 22:50:20.182437,normal,True,26.851265736430566,80.92717720479169,2026-01-10 22:50:20.182437
cust_000030,Aahana Pillay,ishwargade@example.com,9049663193,Kolkata,West Bengal,IN,2023-11-24 15:45:55.182437,normal,True,22.541077077290726,88.44575412039964,2023-11-24 15:45:55.182437
cust_000031,Benjamin Palan,eprabhakar@example.net,0671657262,Mumbai,Maharashtra,IN,2024-12-31 19:11:22.182437,normal,True,19.036992805930613,72.91446346549876,2024-12-31 19:11:22.182437
cust_000032,Udyati Sarin,ekantika31@example.com,3799650752,Delhi,Delhi,IN,2024-07-22 12:15:28.182437,normal,True,28.67614180824704,77.07948466187129,2024-07-22 12:15:28.182437
cust_000033,Harini Mammen,advaith83@example.org,6783777014,Port Blair,Andaman and Nicobar Islands,IN,2024-12-30 14:17:21.182437,watchlist,True,11.674912484698478,92.70749815768554,2024-12-30 14:17:21.182437
